FID,area,perimeter,distance
735246,2728.791077,269.0014116,362620.2383
735247,462.9988078,96.40052656,362709.348
735356,173439.0317,2114.336426,189.0646017
736909,2144.166396,199.6553136,8.403355995
737134,1468.758714,162.7024559,11.2986191
737144,1553.793636,171.7004516,12812.0515
737145,8907.068825,458.2012867,9297.751115
737146,15034.28366,486.9601697,7350.046955
737159,304247.7297,2493.654303,863.3874617
737160,10622162.7,45261.37394,27.71714725
737178,4045.503964,363.4950172,46.75474025
737179,81644.48541,1659.421364,31.82944556
737180,2359.114827,204.1738227,8.4337624
737181,3000.45405,368.1440365,15.14077801
737182,1556.665773,154.712316,33.26428786
737183,11481.08363,443.0182218,17.23394049
737184,2372.640226,196.4768418,19.56451351
737185,2870619.952,14241.36658,20.1431036
737186,280217.9447,2481.912659,76.05855645
737187,1345.305239,192.1518999,7.850244493
737789,1777.788261,170.90883,200198.8571
737790,1489.115867,144.2140934,185057.1614
737791,7858.756739,338.2020355,172435.4755
738072,3441.142957,462.0778293,29.70646098
738073,12839.68012,754.4737514,7.480888376
739358,4552.049089,333.0979513,7.407741886
739359,12241.78259,503.2977304,117.6446785
741659,502.8327259,86.93179319,1285.167115
741660,62516.77018,1211.883426,1045.528193
741661,23299.9148,1048.061296,8.470901811
741662,32520.4458,708.3589451,3.98909889
741663,2992.95615,240.4083911,21.05163703
741664,105.1724477,46.36965965,11.02909324
741665,1450.525065,149.9061129,10.99414362
741666,875.1749142,151.8970194,11.52908949
741667,21872.55109,711.1286643,20.67175344
741668,19121.4202,633.0123145,485.428391
743115,9400.176046,483.490266,7.250569777
743468,870.7818578,110.6095975,10849.72515
743469,1449.81073,179.3649414,10262.34615
743470,739.1468625,108.2128511,12188.01252
743471,559.263023,99.86595567,14640.74185
743472,21118.12362,754.1021114,14637.4853
743473,369.5574131,82.37068058,14414.14995
743474,3244.944248,254.0390978,14424.88712
743476,890.7639258,126.1875721,55898.37366
743477,7470.611957,410.1921153,64251.30291
743478,7528.634036,445.794096,7625.280352
743479,30883.72872,1082.177643,30189.87617
743480,19515.13399,518.7868508,18385.6333
743481,29215.62983,685.7800027,12542.91884
743807,579.0227096,92.06114186,584.5733991
743808,603.152115,94.47060022,6123.067564
743809,630.0658827,99.68973086,908.8797222
744139,1986.232482,170.5236391,5289.966994
748220,1232.784661,222.6743902,85193.12997
748221,77.9593936,37.21504016,84408.86684
748222,277.363115,70.51256084,84361.51857
