FID,area,perimeter,area_2,perimeter_,FID_2,area_3,perimete_1,distance
"121847",0.000001812500000,0.006298853620760,21780.749016016718087,687.587118552852530,"141273",685.628724642505063,421.725075245091944,55.240888646123672
"121848",0.000528042689660,0.090223379319158,6347765.595404922962189,9894.797886688776998,"141273",685.628724642505063,421.725075245091944,5033.445149146136828
"122113",0.000010311511580,0.015695441105237,98849.632065132260323,1550.740301623785626,"141273",685.628724642505063,421.725075245091944,14153.720028666466533
"122114",0.000008404347295,0.016494660103618,80563.560918807983398,1765.128240744485538,"141273",685.628724642505063,421.725075245091944,12758.929096925579870
"122115",0.000000791224030,0.004667957239193,7584.059460759162903,493.361289580444122,"141273",685.628724642505063,421.725075245091944,13486.979699452223940
"122986",0.000000207556400,0.001698823825250,2157.379312850534916,173.463689039737858,"141273",685.628724642505063,421.725075245091944,1236.695958047396061
"123081",0.000022565425170,0.020328874494348,234714.640326023072703,2019.805077523586760,"141273",685.628724642505063,421.725075245091944,645.013582542039444
"123082",0.000014387484940,0.016329538389530,173370.747308000922203,1790.261577149409732,"141273",685.628724642505063,421.725075245091944,2420.651244293899708
"123083",0.000053814826545,0.029314706018879,648536.444967150688171,3216.668089388955650,"141273",685.628724642505063,421.725075245091944,25423.531715316305053
"123084",0.000060828687155,0.032631912219007,733023.848344177007675,3580.536570347252564,"141273",685.628724642505063,421.725075245091944,26376.441602899631107
"123085",0.000008892930455,0.015326502351114,107188.367968082427979,1679.310726059887656,"141273",685.628724642505063,421.725075245091944,11822.458466916150428
"123086",0.000004007258520,0.007394381770384,48301.676415771245956,810.456925215651609,"141273",685.628724642505063,421.725075245091944,14240.561598071981280
"123087",0.000003122029350,0.006882093977143,37631.889212938025594,753.850919456156362,"141273",685.628724642505063,421.725075245091944,14270.699640572493081
"123088",0.000001678937430,0.005261008637366,20229.870682271197438,578.690234933655347,"141273",685.628724642505063,421.725075245091944,3202.318087479726728
"123089",0.000057562139470,0.032845498008253,688553.134982704999857,3594.657381725090090,"141273",685.628724642505063,421.725075245091944,8619.101861705763440
"123090",0.000000685225525,0.004379287060964,8196.449856787919998,479.315087606821237,"141273",685.628724642505063,421.725075245091944,8513.108524039138501
"123091",0.000002137402855,0.006411499738803,25576.737182160839438,701.417836245110038,"141273",685.628724642505063,421.725075245091944,4943.896163688488741
"123124",0.000001458616305,0.004459981237343,17430.120660357177258,487.545368030037082,"141273",685.628724642505063,421.725075245091944,11664.744846189356394
"123125",0.000005530246030,0.009473732022919,66084.257834315299988,1035.594258962768208,"141273",685.628724642505063,421.725075245091944,11210.160722801017982
"123126",0.000000610275080,0.003430015082005,7299.163360998034477,374.955877241433882,"141273",685.628724642505063,421.725075245091944,23244.836557410864771
"123127",0.000005663295555,0.012447760594652,67730.155831720679998,1360.500761476087746,"141273",685.628724642505063,421.725075245091944,27307.616359579445998
"123128",0.000018967552450,0.025814454340549,226627.333876124583185,2821.508291914130496,"141273",685.628724642505063,421.725075245091944,19185.902092536398413
"123129",0.000000421057220,0.003625983606020,5031.015804033726454,396.364404369044848,"141273",685.628724642505063,421.725075245091944,18742.993992714142223
"123130",0.000011145001555,0.019022856263915,133161.537176810204983,2079.371621759943537,"141273",685.628724642505063,421.725075245091944,18271.049027371675038
"124802",0.000000774397870,0.003442704263903,7522.542260207235813,330.378494416997228,"141273",685.628724642505063,421.725075245091944,77.181438548632357
"124803",0.000000172448605,0.001937352569338,1675.165594285354018,184.054477178541674,"141273",685.628724642505063,421.725075245091944,211.193694067509171
"125241",0.000005635987500,0.018573998703171,66638.043819844722748,2026.919035331188752,"141273",685.628724642505063,421.725075245091944,347.479944502722958
"127365",0.000000137751705,0.001827351804102,1450.625752694904804,177.730734834034820,"141273",685.628724642505063,421.725075245091944,567089.119662874378264
"127367",0.000000242943770,0.002340934998915,2559.456111581996083,245.766665028408454,"141273",685.628724642505063,421.725075245091944,567698.093826965428889
"127381",0.000241749369640,0.098072804343652,2317723.962961196899414,9609.322520500671089,"141273",685.628724642505063,421.725075245091944,46586.046715396303625
"127382",0.000023890776170,0.025472212041917,229088.500507369637489,2534.429855406731804,"141273",685.628724642505063,421.725075245091944,47771.298538605966314
"127388",0.000002231279420,0.006497220620415,21600.736439343541861,613.109538689821647,"141273",685.628724642505063,421.725075245091944,7637.878084164507527
"127389",0.000000951622330,0.004383609646249,9212.565392941236496,408.789719287937999,"141273",685.628724642505063,421.725075245091944,7916.306292185293387
"127393",0.000000181411215,0.001954663819988,1758.547772426158190,184.084683016757651,"141273",685.628724642505063,421.725075245091944,6198.311939763995724
